leaves	hot chocolate	cold	chilly	snuggie	Snuggie	wind	windy	rainy day	rain	scarf	scarves	earmuffs	pumpkin	sweater	sweater weather	Uggs	uggs	snow	snowman	snowflake	autumn	winter	gloves	storm	warm weather	sunny	warm	cozy	electric blanket	Thanksgiving	holiday	icy	blizzard	day	date	maxFreq
7	1	23	1	0	0	14	4	1	33	1	0	0	11	4	0	0	0	3	0	0	2	7	2	6	0	1	6	0	0	8	17	0	1	1	11/1/13	rain
6	1	46	3	0	0	14	1	1	36	3	0	0	10	4	0	1	0	4	0	0	10	4	0	8	0	3	17	0	0	11	18	1	1	2	11/2/13	cold
3	1	18	1	0	0	1	0	0	2	3	1	0	2	1	0	0	0	3	0	0	1	7	0	0	0	0	4	0	0	4	2	0	0	3	11/3/13	cold
9	7	90	6	1	0	18	1	1	35	1	0	0	5	6	0	0	3	14	0	0	9	32	4	5	1	4	22	1	0	9	30	1	0	4	11/4/13	cold
4	2	59	2	0	0	5	1	1	34	1	0	1	2	7	0	0	1	16	1	2	3	18	3	1	0	4	19	2	0	2	15	3	1	5	11/5/13	cold
12	4	75	3	0	0	10	1	2	38	2	0	0	4	6	0	0	5	16	0	1	2	23	0	4	1	2	19	5	0	8	15	1	0	6	11/6/13	cold
5	2	54	1	0	0	7	1	0	38	1	0	0	4	3	1	1	1	9	0	0	1	7	2	14	0	3	16	2	0	5	7	0	0	7	11/7/13	cold
3	3	62	2	0	0	10	3	0	36	3	0	0	4	4	0	0	3	20	0	0	1	12	0	5	0	6	9	0	1	2	8	1	1	8	11/8/13	cold
17	8	123	5	0	0	21	6	0	47	2	1	0	10	12	1	1	3	18	0	0	6	23	5	11	0	16	31	1	0	10	28	2	0	9	11/9/13	cold
5	5	38	0	0	0	11	2	0	20	1	0	0	3	3	0	2	4	13	0	1	2	8	2	8	0	6	8	6	0	5	12	3	2	10	11/10/13	cold
7	7	68	2	0	0	19	2	0	26	1	0	0	4	2	0	0	2	59	1	0	6	23	1	6	0	2	16	2	0	4	23	1	3	11	11/11/13	cold
5	4	53	7	0	0	20	5	3	30	4	0	0	3	6	1	0	3	20	2	1	1	29	1	4	0	7	17	2	1	6	19	0	1	16	11/16/13	cold
8	1	54	0	0	0	22	5	1	51	4	0	0	2	4	0	0	1	13	0	1	5	18	2	28	0	2	19	2	1	12	13	0	0	17	11/17/13	cold
6	3	50	0	1	0	13	3	1	26	1	1	0	3	4	0	1	3	27	1	1	2	17	2	6	0	3	12	0	0	12	20	0	0	18	11/18/13	cold
8	3	65	5	0	0	10	0	0	23	0	0	0	3	6	0	1	2	18	0	1	0	17	5	2	0	3	16	1	1	14	13	1	0	19	11/19/13	cold
13	3	146	1	0	0	30	8	0	81	4	0	0	1	10	0	1	4	42	1	2	5	39	8	6	0	9	36	3	0	29	14	3	1	20	11/20/13	cold
13	4	135	2	0	0	25	2	2	88	9	0	0	2	11	1	0	4	50	1	1	8	47	9	6	0	7	34	5	0	29	22	2	2	21	11/21/13	cold
9	11	142	3	1	0	14	3	2	67	1	1	0	1	9	4	0	5	41	3	2	2	27	2	2	0	4	37	4	0	26	20	2	2	22	11/22/13	cold
7	10	156	2	0	0	30	5	0	39	4	2	1	7	7	0	2	2	76	0	1	4	28	4	9	1	9	35	6	1	38	25	3	3	23	11/23/13	cold
8	10	149	5	0	0	21	6	0	20	3	2	0	4	8	0	1	2	40	0	2	3	37	6	8	2	6	19	1	0	25	18	2	0	24	11/24/13	cold
2	12	120	3	2	0	9	2	1	37	0	0	0	4	13	0	0	2	72	0	0	1	43	4	6	0	5	27	1	1	37	27	1	0	25	11/25/13	cold
12	8	100	1	0	0	11	0	2	59	4	0	0	5	7	0	0	4	67	0	0	4	27	1	8	0	7	22	2	0	64	21	3	2	26	11/26/13	cold
6	2	51	1	0	0	7	1	1	19	3	0	0	8	1	0	1	2	40	1	2	4	17	2	7	0	4	13	1	0	157	35	0	2	27	11/27/13	Thanksgiving
0	1	20	0	0	0	6	4	0	13	2	1	0	4	1	0	0	0	5	0	1	0	5	2	3	0	0	5	1	0	130	13	0	0	28	11/28/13	Thanksgiving
9	14	81	0	0	0	9	0	2	30	5	2	0	8	2	0	0	3	14	0	0	5	23	0	9	1	7	27	1	1	57	31	1	1	29	11/29/13	cold
5	5	97	3	0	0	12	2	2	15	4	0	0	4	10	1	1	3	35	3	2	8	23	2	5	2	5	26	7	1	39	36	2	3	30	11/30/13	cold
12	15	78	1	0	0	6	1	1	30	3	0	0	6	9	0	2	1	43	3	1	4	31	7	8	0	10	29	3	1	31	40	2	1	31	12/1/13	cold
